title,url
Ag Yeog Hwangnyeonim Eun Gwajajib Eseo Salgo Sip Eo - The Villainous Princess Wants to Live in a Cookie House,https://mangalivre.net/manga/ag-yeog-hwangnyeonim-eun-gwajajib-eseo-salgo-sip-eo---the-villainous-princess-wants-to-live-in-a-cookie-house/13028
Potion-danomi de Ikinobimasu!,https://mangalivre.net/manga/potion-danomi-de-ikinobimasu/8021
Hone Dragon no Mana Musume,https://mangalivre.net/manga/hone-dragon-no-mana-musume/12666
Ghost-kun Was an Unpolished Gemstone,https://mangalivre.net/manga/ghost-kun-was-an-unpolished-gemstone/14311
The Princess of God's Punishment,https://mangalivre.net/manga/the-princess-of-gods-punishment/13517
Gege Shi Da Bendan!,https://mangalivre.net/manga/gege-shi-da-bendan/11826
Hangyaku no Soul Eater,https://mangalivre.net/manga/hangyaku-no-soul-eater/11837
Isekai de Tochi wo Katte Noujou wo Tsukurou,https://mangalivre.net/manga/isekai-de-tochi-wo-katte-noujou-wo-tsukurou/9598
Nito no Taidana Isekai Shoukougun: Saijaku Shoku,https://mangalivre.net/manga/nito-no-taidana-isekai-shoukougun-saijaku-shoku/8872
Juujika no Rokunin,https://mangalivre.net/manga/juujika-no-rokunin/10775
Kaishin no Ichigeki! Christmas Short Story (One Shot),https://mangalivre.net/manga/kaishin-no-ichigeki-christmas-short-story-one-shot/14369
Wo Bei Boss Zou Da De - B Is for Boss,https://mangalivre.net/manga/wo-bei-boss-zou-da-de---b-is-for-boss/14368
Little Princess Mint,https://mangalivre.net/manga/little-princess-mint/14367
Noona’s Night,https://mangalivre.net/manga/noonas-night/14366
Kamen Rider Spirits,https://mangalivre.net/manga/kamen-rider-spirits/5648
Truth Mask,https://mangalivre.net/manga/truth-mask/10681
There’s No Engineering Goddess?,https://mangalivre.net/manga/theres-no-engineering-goddess/14137
When Jasy Whistles,https://mangalivre.net/manga/when-jasy-whistles/13280
Lightning Degree,https://mangalivre.net/manga/lightning-degree/9582
Saint Seiya - Episode G Requiem,https://mangalivre.net/manga/saint-seiya---episode-g-requiem/9222
Ring ni Kakero 2,https://mangalivre.net/manga/ring-ni-kakero-2/11106
"Daisy, The Duke's Bride",https://mangalivre.net/manga/daisy-the-dukes-bride/9747
"Daisy, The Duke's Bride",https://mangalivre.net/manga/daisy-the-dukes-bride/9747
Bishoujo Senshi Sailor Moon,https://mangalivre.net/manga/bishoujo-senshi-sailor-moon/337
Villainess Maker (One Shot),https://mangalivre.net/manga/villainess-maker-one-shot/9508
Musume ja Nakute Mama ga Suki nano!?,https://mangalivre.net/manga/musume-ja-nakute-mama-ga-suki-nano/9540
"Watashi wo Tabetai, Hitodenashi",https://mangalivre.net/manga/watashi-wo-tabetai-hitodenashi/10781
"Yuukyuu no Gusha Asley no, Kenja no Susume: to, Pochi no Daibouken",https://mangalivre.net/manga/yuukyuu-no-gusha-asley-no-kenja-no-susume-to-pochi-no-daibouken/8233
Study Group,https://mangalivre.net/manga/study-group/8699
Tacit,https://mangalivre.net/manga/tacit/13470
The Rebirth of the Demon God,https://mangalivre.net/manga/the-rebirth-of-the-demon-god/9415
Solo Max-Level Newbie,https://mangalivre.net/manga/solo-max-level-newbie/13286
The Millennium Alchemist,https://mangalivre.net/manga/the-millennium-alchemist/13648
I Raised My Childhood Friend as a Tyrant,https://mangalivre.net/manga/i-raised-my-childhood-friend-as-a-tyrant/12701
Lv999 no Murabito,https://mangalivre.net/manga/lv999-no-murabito/6405
Nappeunsalam - Bad Guy,https://mangalivre.net/manga/nappeunsalam---bad-guy/12919
Nodabsonyeo - She's Hopeless,https://mangalivre.net/manga/nodabsonyeo---shes-hopeless/12814
A Bittersweet Couple,https://mangalivre.net/manga/a-bittersweet-couple/11893
Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu.,https://mangalivre.net/manga/kakuriyo-no-yadomeshi-ayakashi-oyado-ni-yomeiri-shimasu-/10295
Wo Mei Zhou Suiji Yige Xin Zhiye - I Randomly Have a New Career Every Week,https://mangalivre.net/manga/wo-mei-zhou-suiji-yige-xin-zhiye---i-randomly-have-a-new-career-every-week/14335
The Heaven's List,https://mangalivre.net/manga/the-heavens-list/7330
D.Gray-man,https://mangalivre.net/manga/d-gray-man/290
The Fable,https://mangalivre.net/manga/the-fable/11133
"Actually, I Was the Real One",https://mangalivre.net/manga/actually-i-was-the-real-one/10910
